========================================
  CTT-JEPA Experiments on H100
  Started: Fri Mar 27 10:54:54 UTC 2026
========================================
[1/2] Training C-JEPA Baseline...
10:55:00.865 | INFO    (4670, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
10:55:06.687 | INFO    (4670, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:   7%|▋         | 39/532 [00:05<00:46, 10.57it/s, loss=0.2227, future=0.1113]
Epoch 1:   7%|▋         | 39/532 [00:06<00:46, 10.57it/s, loss=0.2219, future=0.1111]
Epoch 1:   7%|▋         | 39/532 [00:06<00:46, 10.57it/s, loss=0.2215, future=0.1113]
Epoch 1:   8%|▊         | 41/532 [00:06<00:46, 10.60it/s, loss=0.2215, future=0.1113]
Epoch 1:   8%|▊         | 41/532 [00:06<00:46, 10.60it/s, loss=0.2192, future=0.1099]
Epoch 1:   8%|▊         | 41/532 [00:06<00:46, 10.60it/s, loss=0.2189, future=0.1095]
Epoch 1:   8%|▊         | 43/532 [00:06<00:46, 10.61it/s, loss=0.2189, future=0.1095]
Epoch 1:   8%|▊         | 43/532 [00:06<00:46, 10.61it/s, loss=0.2190, future=0.1091]
Epoch 1:   8%|▊         | 43/532 [00:06<00:46, 10.61it/s, loss=0.2172, future=0.1080]
Epoch 1:   8%|▊         | 45/532 [00:06<00:46, 10.54it/s, loss=0.2172, future=0.1080]
Epoch 1:   8%|▊         | 45/532 [00:06<00:46, 10.54it/s, loss=0.2132, future=0.1066]
Epoch 1:   8%|▊         | 45/532 [00:06<00:46, 10.54it/s, loss=0.2146, future=0.1065]
Epoch 1:   9%|▉         | 47/532 [00:06<00:46, 10.53it/s, loss=0.2146, future=0.1065]
Epoch 1:   9%|▉         | 47/532 [00:06<00:46, 10.53it/s, loss=0.2102, future=0.1048]
Epoch 1:   9%|▉         | 47/532 [00:06<00:46, 10.53it/s, loss=0.2071, future=0.1033]
Epoch 1:   9%|▉         | 49/532 [00:06<00:45, 10.53it/s, loss=0.2071, future=0.1033]
Epoch 1:   9%|▉         | 49/532 [00:07<00:45, 10.53it/s, loss=0.2052, future=0.1022]
Epoch 1:   9%|▉         | 49/532 [00:07<00:45, 10.53it/s, loss=0.2040, future=0.1016]
Epoch 1:  10%|▉         | 51/532 [00:07<00:46, 10.44it/s, loss=0.2040, future=0.1016]
Epoch 1:  10%|▉         | 51/532 [00:07<00:46, 10.44it/s, loss=0.1988, future=0.0985]
Epoch 1:  10%|▉         | 51/532 [00:07<00:46, 10.44it/s, loss=0.1937, future=0.0964]
Epoch 1:  10%|▉         | 53/532 [00:07<00:45, 10.53it/s, loss=0.1937, future=0.0964]
Epoch 1:  10%|▉         | 53/532 [00:07<00:45, 10.53it/s, loss=0.1910, future=0.0942]
Epoch 1:  10%|▉         | 53/532 [00:07<00:45, 10.53it/s, loss=0.1861, future=0.0916]
Epoch 1:  10%|█         | 55/532 [00:07<00:45, 10.55it/s, loss=0.1861, future=0.0916]
Epoch 1:  10%|█         | 55/532 [00:07<00:45, 10.55it/s, loss=0.1782, future=0.0880]
Epoch 1:  10%|█         | 55/532 [00:07<00:45, 10.55it/s, loss=0.1743, future=0.0857]
Epoch 1:  11%|█         | 57/532 [00:07<00:44, 10.73it/s, loss=0.1743, future=0.0857]
Epoch 1:  11%|█         | 57/532 [00:07<00:44, 10.73it/s, loss=0.1734, future=0.0850]
Epoch 1:  11%|█         | 57/532 [00:07<00:44, 10.73it/s, loss=0.1685, future=0.0833]
Epoch 1:  11%|█         | 59/532 [00:07<00:44, 10.57it/s, loss=0.1685, future=0.0833]
Epoch 1:  11%|█         | 59/532 [00:07<00:44, 10.57it/s, loss=0.1634, future=0.0813]
Epoch 1:  11%|█         | 59/532 [00:08<00:44, 10.57it/s, loss=0.1575, future=0.0780]
Epoch 1:  11%|█▏        | 61/532 [00:08<00:44, 10.57it/s, loss=0.1575, future=0.0780]
Epoch 1:  11%|█▏        | 61/532 [00:08<00:44, 10.57it/s, loss=0.1521, future=0.0756]
Epoch 1:  11%|█▏        | 61/532 [00:08<00:44, 10.57it/s, loss=0.1465, future=0.0736]
Epoch 1:  12%|█▏        | 63/532 [00:08<00:44, 10.55it/s, loss=0.1465, future=0.0736]
Epoch 1:  12%|█▏        | 63/532 [00:08<00:44, 10.55it/s, loss=0.1425, future=0.0719]
Epoch 1:  12%|█▏        | 63/532 [00:08<00:44, 10.55it/s, loss=0.1392, future=0.0700]
Epoch 1:  12%|█▏        | 65/532 [00:08<00:44, 10.60it/s, loss=0.1392, future=0.0700]
Epoch 1:  12%|█▏        | 65/532 [00:08<00:44, 10.60it/s, loss=0.1334, future=0.0677]
Epoch 1:  12%|█▏        | 65/532 [00:08<00:44, 10.60it/s, loss=0.1293, future=0.0660]
Epoch 1:  13%|█▎        | 67/532 [00:08<00:44, 10.56it/s, loss=0.1293, future=0.0660]
Epoch 1:  13%|█▎        | 67/532 [00:08<00:44, 10.56it/s, loss=0.1251, future=0.0636]
Epoch 1:  13%|█▎        | 67/532 [00:08<00:44, 10.56it/s, loss=0.1216, future=0.0626]
Epoch 1:  13%|█▎        | 69/532 [00:08<00:43, 10.56it/s, loss=0.1216, future=0.0626]
Epoch 1:  13%|█▎        | 69/532 [00:08<00:43, 10.56it/s, loss=0.1179, future=0.0607]
Epoch 1:  13%|█▎        | 69/532 [00:08<00:43, 10.56it/s, loss=0.1124, future=0.0583]
Epoch 1:  13%|█▎        | 71/532 [00:08<00:43, 10.67it/s, loss=0.1124, future=0.0583]
Epoch 1:  13%|█▎        | 71/532 [00:09<00:43, 10.67it/s, loss=0.1088, future=0.0570]
Epoch 1:  13%|█▎        | 71/532 [00:09<00:43, 10.67it/s, loss=0.1064, future=0.0562]
Epoch 1:  14%|█▎        | 73/532 [00:09<00:43, 10.66it/s, loss=0.1064, future=0.0562]
Epoch 1:  14%|█▎        | 73/532 [00:09<00:43, 10.66it/s, loss=0.1029, future=0.0545]
Epoch 1:  14%|█▎        | 73/532 [00:09<00:43, 10.66it/s, loss=0.0989, future=0.0529]
Epoch 1:  14%|█▍        | 75/532 [00:09<00:42, 10.81it/s, loss=0.0989, future=0.0529]
Epoch 1:  14%|█▍        | 75/532 [00:09<00:42, 10.81it/s, loss=0.0967, future=0.0520]
Epoch 1:  14%|█▍        | 75/532 [00:09<00:42, 10.81it/s, loss=0.0950, future=0.0516]
Epoch 1:  14%|█▍        | 77/532 [00:09<00:42, 10.77it/s, loss=0.0950, future=0.0516]
Epoch 1:  14%|█▍        | 77/532 [00:09<00:42, 10.77it/s, loss=0.0903, future=0.0488]
Epoch 1:  14%|█▍        | 77/532 [00:09<00:42, 10.77it/s, loss=0.0902, future=0.0495]
Epoch 1:  15%|█▍        | 79/532 [00:09<00:42, 10.61it/s, loss=0.0902, future=0.0495]
Epoch 1:  15%|█▍        | 79/532 [00:09<00:42, 10.61it/s, loss=0.0878, future=0.0480]
Epoch 1:  15%|█▍        | 79/532 [00:09<00:42, 10.61it/s, loss=0.0859, future=0.0474]
Epoch 1:  15%|█▌        | 81/532 [00:09<00:42, 10.52it/s, loss=0.0859, future=0.0474]
Epoch 1:  15%|█▌        | 81/532 [00:10<00:42, 10.52it/s, loss=0.0838, future=0.0464]
Epoch 1:  15%|█▌        | 81/532 [00:10<00:42, 10.52it/s, loss=0.0818, future=0.0451]
Epoch 1:  16%|█▌        | 83/532 [00:10<00:42, 10.52it/s, loss=0.0818, future=0.0451]
Epoch 1:  16%|█▌        | 83/532 [00:10<00:42, 10.52it/s, loss=0.0798, future=0.0442]
Epoch 1:  16%|█▌        | 83/532 [00:10<00:42, 10.52it/s, loss=0.0792, future=0.0444]
Epoch 1:  16%|█▌        | 85/532 [00:10<00:42, 10.57it/s, loss=0.0792, future=0.0444]
Epoch 1:  16%|█▌        | 85/532 [00:10<00:42, 10.57it/s, loss=0.0779, future=0.0440]
Epoch 1:  16%|█▌        | 85/532 [00:10<00:42, 10.57it/s, loss=0.0774, future=0.0437]
Epoch 1:  16%|█▋        | 87/532 [00:10<00:41, 10.61it/s, loss=0.0774, future=0.0437]
Epoch 1:  16%|█▋        | 87/532 [00:10<00:41, 10.61it/s, loss=0.0773, future=0.0434]
Epoch 1:  16%|█▋        | 87/532 [00:10<00:41, 10.61it/s, loss=0.0743, future=0.0427]
Epoch 1:  17%|█▋        | 89/532 [00:10<00:41, 10.64it/s, loss=0.0743, future=0.0427]
Epoch 1:  17%|█▋        | 89/532 [00:10<00:41, 10.64it/s, loss=0.0729, future=0.0416]
Epoch 1:  17%|█▋        | 89/532 [00:10<00:41, 10.64it/s, loss=0.0723, future=0.0418]
Epoch 1:  17%|█▋        | 91/532 [00:10<00:41, 10.66it/s, loss=0.0723, future=0.0418]
Epoch 1:  17%|█▋        | 91/532 [00:10<00:41, 10.66it/s, loss=0.0718, future=0.0414]
Epoch 1:  17%|█▋        | 91/532 [00:11<00:41, 10.66it/s, loss=0.0711, future=0.0409]
Epoch 1:  17%|█▋        | 93/532 [00:11<00:41, 10.64it/s, loss=0.0711, future=0.0409]
Epoch 1:  17%|█▋        | 93/532 [00:11<00:41, 10.64it/s, loss=0.0684, future=0.0395]
Epoch 1:  17%|█▋        | 93/532 [00:11<00:41, 10.64it/s, loss=0.0698, future=0.0410]
Epoch 1:  18%|█▊        | 95/532 [00:11<00:41, 10.50it/s, loss=0.0698, future=0.0410]
Epoch 1:  18%|█▊        | 95/532 [00:11<00:41, 10.50it/s, loss=0.0679, future=0.0400]
Epoch 1:  18%|█▊        | 95/532 [00:11<00:41, 10.50it/s, loss=0.0677, future=0.0396]
Epoch 1:  18%|█▊        | 97/532 [00:11<00:41, 10.57it/s, loss=0.0677, future=0.0396]
Epoch 1:  18%|█▊        | 97/532 [00:11<00:41, 10.57it/s, loss=0.0662, future=0.0388]
Epoch 1:  18%|█▊        | 97/532 [00:11<00:41, 10.57it/s, loss=0.0669, future=0.0393]
Epoch 1:  19%|█▊        | 99/532 [00:11<00:40, 10.62it/s, loss=0.0669, future=0.0393]
Epoch 1:  19%|█▊        | 99/532 [00:11<00:40, 10.62it/s, loss=0.0660, future=0.0387]
Epoch 1:  19%|█▊        | 99/532 [00:11<00:40, 10.62it/s, loss=0.0653, future=0.0386]
Epoch 1:  19%|█▉        | 101/532 [00:11<00:40, 10.65it/s, loss=0.0653, future=0.0386]
Epoch 1:  19%|█▉        | 101/532 [00:11<00:40, 10.65it/s, loss=0.0651, future=0.0383]
Epoch 1:  19%|█▉        | 101/532 [00:11<00:40, 10.65it/s, loss=0.0645, future=0.0385]
Epoch 1:  19%|█▉        | 103/532 [00:11<00:40, 10.67it/s, loss=0.0645, future=0.0385]
Epoch 1:  19%|█▉        | 103/532 [00:12<00:40, 10.67it/s, loss=0.0640, future=0.0379]
Epoch 1:  19%|█▉        | 103/532 [00:12<00:40, 10.67it/s, loss=0.0630, future=0.0377]
Epoch 1:  20%|█▉        | 105/532 [00:12<00:40, 10.66it/s, loss=0.0630, future=0.0377]
Epoch 1:  20%|█▉        | 105/532 [00:12<00:40, 10.66it/s, loss=0.0632, future=0.0380]
Epoch 1:  20%|█▉        | 105/532 [00:12<00:40, 10.66it/s, loss=0.0620, future=0.0367]
Epoch 1:  20%|██        | 107/532 [00:12<00:40, 10.52it/s, loss=0.0620, future=0.0367]
Epoch 1:  20%|██        | 107/532 [00:12<00:40, 10.52it/s, loss=0.0625, future=0.0373]
Epoch 1:  20%|██        | 107/532 [00:12<00:40, 10.52it/s, loss=0.0623, future=0.0372]
