11:29:42.583 | INFO    (9751, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
11:29:49.265 | INFO    (9751, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:   7%|▋         | 39/532 [00:05<00:30, 15.99it/s, loss=0.2232, future=0.1122]
Epoch 1:   7%|▋         | 39/532 [00:05<00:30, 15.99it/s, loss=0.2218, future=0.1110]
Epoch 1:   8%|▊         | 41/532 [00:05<00:30, 16.04it/s, loss=0.2218, future=0.1110]
Epoch 1:   8%|▊         | 41/532 [00:05<00:30, 16.04it/s, loss=0.2196, future=0.1097]
Epoch 1:   8%|▊         | 41/532 [00:05<00:30, 16.04it/s, loss=0.2201, future=0.1106]
Epoch 1:   8%|▊         | 43/532 [00:05<00:30, 15.94it/s, loss=0.2201, future=0.1106]
Epoch 1:   8%|▊         | 43/532 [00:05<00:30, 15.94it/s, loss=0.2181, future=0.1091]
Epoch 1:   8%|▊         | 43/532 [00:05<00:30, 15.94it/s, loss=0.2169, future=0.1081]
Epoch 1:   8%|▊         | 45/532 [00:05<00:30, 15.97it/s, loss=0.2169, future=0.1081]
Epoch 1:   8%|▊         | 45/532 [00:05<00:30, 15.97it/s, loss=0.2188, future=0.1091]
Epoch 1:   8%|▊         | 45/532 [00:05<00:30, 15.97it/s, loss=0.2159, future=0.1087]
Epoch 1:   9%|▉         | 47/532 [00:05<00:30, 16.02it/s, loss=0.2159, future=0.1087]
Epoch 1:   9%|▉         | 47/532 [00:05<00:30, 16.02it/s, loss=0.2153, future=0.1077]
Epoch 1:   9%|▉         | 47/532 [00:05<00:30, 16.02it/s, loss=0.2117, future=0.1055]
Epoch 1:   9%|▉         | 49/532 [00:05<00:30, 16.08it/s, loss=0.2117, future=0.1055]
Epoch 1:   9%|▉         | 49/532 [00:05<00:30, 16.08it/s, loss=0.2094, future=0.1049]
Epoch 1:   9%|▉         | 49/532 [00:05<00:30, 16.08it/s, loss=0.2089, future=0.1046]
Epoch 1:  10%|▉         | 51/532 [00:05<00:29, 16.08it/s, loss=0.2089, future=0.1046]
Epoch 1:  10%|▉         | 51/532 [00:05<00:29, 16.08it/s, loss=0.2060, future=0.1025]
Epoch 1:  10%|▉         | 51/532 [00:06<00:29, 16.08it/s, loss=0.2027, future=0.1010]
Epoch 1:  10%|▉         | 53/532 [00:06<00:29, 16.14it/s, loss=0.2027, future=0.1010]
Epoch 1:  10%|▉         | 53/532 [00:06<00:29, 16.14it/s, loss=0.1998, future=0.0993]
Epoch 1:  10%|▉         | 53/532 [00:06<00:29, 16.14it/s, loss=0.1936, future=0.0967]
Epoch 1:  10%|█         | 55/532 [00:06<00:29, 16.16it/s, loss=0.1936, future=0.0967]
Epoch 1:  10%|█         | 55/532 [00:06<00:29, 16.16it/s, loss=0.1899, future=0.0938]
Epoch 1:  10%|█         | 55/532 [00:06<00:29, 16.16it/s, loss=0.1851, future=0.0912]
Epoch 1:  11%|█         | 57/532 [00:06<00:29, 16.09it/s, loss=0.1851, future=0.0912]
Epoch 1:  11%|█         | 57/532 [00:06<00:29, 16.09it/s, loss=0.1797, future=0.0891]
Epoch 1:  11%|█         | 57/532 [00:06<00:29, 16.09it/s, loss=0.1766, future=0.0868]
Epoch 1:  11%|█         | 59/532 [00:06<00:29, 16.11it/s, loss=0.1766, future=0.0868]
Epoch 1:  11%|█         | 59/532 [00:06<00:29, 16.11it/s, loss=0.1749, future=0.0859]
Epoch 1:  11%|█         | 59/532 [00:06<00:29, 16.11it/s, loss=0.1677, future=0.0827]
Epoch 1:  11%|█▏        | 61/532 [00:06<00:29, 16.14it/s, loss=0.1677, future=0.0827]
Epoch 1:  11%|█▏        | 61/532 [00:06<00:29, 16.14it/s, loss=0.1631, future=0.0803]
Epoch 1:  11%|█▏        | 61/532 [00:06<00:29, 16.14it/s, loss=0.1568, future=0.0774]
Epoch 1:  12%|█▏        | 63/532 [00:06<00:29, 16.12it/s, loss=0.1568, future=0.0774]
Epoch 1:  12%|█▏        | 63/532 [00:06<00:29, 16.12it/s, loss=0.1512, future=0.0746]
Epoch 1:  12%|█▏        | 63/532 [00:06<00:29, 16.12it/s, loss=0.1461, future=0.0727]
Epoch 1:  12%|█▏        | 65/532 [00:06<00:28, 16.15it/s, loss=0.1461, future=0.0727]
Epoch 1:  12%|█▏        | 65/532 [00:06<00:28, 16.15it/s, loss=0.1410, future=0.0704]
Epoch 1:  12%|█▏        | 65/532 [00:06<00:28, 16.15it/s, loss=0.1364, future=0.0685]
Epoch 1:  13%|█▎        | 67/532 [00:06<00:28, 16.19it/s, loss=0.1364, future=0.0685]
Epoch 1:  13%|█▎        | 67/532 [00:06<00:28, 16.19it/s, loss=0.1297, future=0.0658]
Epoch 1:  13%|█▎        | 67/532 [00:07<00:28, 16.19it/s, loss=0.1258, future=0.0641]
Epoch 1:  13%|█▎        | 69/532 [00:07<00:28, 16.19it/s, loss=0.1258, future=0.0641]
Epoch 1:  13%|█▎        | 69/532 [00:07<00:28, 16.19it/s, loss=0.1221, future=0.0620]
Epoch 1:  13%|█▎        | 69/532 [00:07<00:28, 16.19it/s, loss=0.1177, future=0.0608]
Epoch 1:  13%|█▎        | 71/532 [00:07<00:28, 16.22it/s, loss=0.1177, future=0.0608]
Epoch 1:  13%|█▎        | 71/532 [00:07<00:28, 16.22it/s, loss=0.1117, future=0.0577]
Epoch 1:  13%|█▎        | 71/532 [00:07<00:28, 16.22it/s, loss=0.1082, future=0.0566]
Epoch 1:  14%|█▎        | 73/532 [00:07<00:28, 16.23it/s, loss=0.1082, future=0.0566]
Epoch 1:  14%|█▎        | 73/532 [00:07<00:28, 16.23it/s, loss=0.1047, future=0.0550]
Epoch 1:  14%|█▎        | 73/532 [00:07<00:28, 16.23it/s, loss=0.1019, future=0.0541]
Epoch 1:  14%|█▍        | 75/532 [00:07<00:28, 16.23it/s, loss=0.1019, future=0.0541]
Epoch 1:  14%|█▍        | 75/532 [00:07<00:28, 16.23it/s, loss=0.0983, future=0.0526]
Epoch 1:  14%|█▍        | 75/532 [00:07<00:28, 16.23it/s, loss=0.0925, future=0.0500]
Epoch 1:  14%|█▍        | 77/532 [00:07<00:28, 16.23it/s, loss=0.0925, future=0.0500]
Epoch 1:  14%|█▍        | 77/532 [00:07<00:28, 16.23it/s, loss=0.0930, future=0.0504]
Epoch 1:  14%|█▍        | 77/532 [00:07<00:28, 16.23it/s, loss=0.0893, future=0.0488]
Epoch 1:  15%|█▍        | 79/532 [00:07<00:27, 16.21it/s, loss=0.0893, future=0.0488]
Epoch 1:  15%|█▍        | 79/532 [00:07<00:27, 16.21it/s, loss=0.0869, future=0.0479]
Epoch 1:  15%|█▍        | 79/532 [00:07<00:27, 16.21it/s, loss=0.0850, future=0.0473]
Epoch 1:  15%|█▌        | 81/532 [00:07<00:27, 16.23it/s, loss=0.0850, future=0.0473]
Epoch 1:  15%|█▌        | 81/532 [00:07<00:27, 16.23it/s, loss=0.0818, future=0.0454]
Epoch 1:  15%|█▌        | 81/532 [00:07<00:27, 16.23it/s, loss=0.0809, future=0.0454]
Epoch 1:  16%|█▌        | 83/532 [00:07<00:27, 16.24it/s, loss=0.0809, future=0.0454]
Epoch 1:  16%|█▌        | 83/532 [00:07<00:27, 16.24it/s, loss=0.0773, future=0.0438]
Epoch 1:  16%|█▌        | 83/532 [00:08<00:27, 16.24it/s, loss=0.0790, future=0.0444]
